Date,Production_power,Temp,Solar_Power
2025-01-01,654.7727273,-3.042083333,0.120833333
2025-01-02,1869.090909,-0.199166667,0.13
2025-01-03,7557.5,-0.07875,0.152083333
2025-01-04,12207.19697,-1.350833333,0.165416667
2025-01-05,2002.272727,-1.521666667,0.075833333
2025-01-06,4073.787879,5.420416667,0.068333333
2025-01-07,1203.787879,4.115,0.065
2025-01-08,1935.833333,2.860833333,0.071666667
2025-01-09,1695.378788,7.91375,0.067916667
2025-01-10,8936.111111,1.622083333,0.124166667
2025-01-11,11313.33333,-0.600833333,0.147916667
2025-01-12,9797.424242,-0.282083333,0.148333333
2025-01-13,14430.22727,-1.359166667,0.195
2025-01-14,5935,-1.390416667,0.250416667
2025-01-15,3689.621212,-0.542083333,0.142083333
2025-01-16,9425.075757,0.159166667,0.12875
2025-01-17,1088.409091,-0.207083333,0.109166667
2025-01-18,1471.060606,-2.120416667,0.145833333
2025-01-19,787.1212121,-3.182083333,0.129583333
2025-01-20,838.409091,-3.09625,0.133333333
2025-01-21,1170.984848,-2.974583333,0.10375
2025-01-22,1715.833333,-2.385,0.111666667
2025-01-23,1544.69697,1.0375,0.074583333
2025-01-24,9216.439394,0.756666667,0.202083333
2025-01-25,1500.30303,2.68375,0.137083333
2025-01-26,15533.78788,5.365,0.157916667
2025-01-27,15681.21212,7.017916667,0.174166667
2025-01-28,6555.151515,9.604166667,0.092083333
2025-01-29,16612.04545,6.072916667,0.306666667
2025-01-30,22749.69697,5.64875,0.320833333
2025-01-31,11512.34848,3.43125,0.27
2025-02-01,23968.63636,2.02375,0.35125
2025-02-02,3496.439394,1.67375,0.130833333
2025-02-03,23018.9697,0.048333333,0.329583333
2025-02-04,23214.62121,0.32,0.330416667
2025-02-05,23486.81818,0.039583333,0.361666667
2025-02-06,23332.80303,1.535833333,0.3025
2025-02-07,19131.9697,1.102916667,0.21
2025-02-08,5433.030303,1.12625,0.274166667
2025-02-09,6025.757576,0.900416667,0.222083333
2025-02-10,13679.24242,0.839166667,0.407083333
2025-02-11,23224.84848,-0.045,0.471666667
2025-02-12,3989.69697,0.067083333,0.265833333
2025-02-13,2171.590909,-0.10375,0.15375
2025-02-14,15592.5,0.511666667,0.20875
2025-02-15,28127.5,-2.244166667,0.41
2025-02-16,18953.48485,-2.367916667,0.239166667
2025-02-17,11965.98485,-1.645,0.348333333
2025-02-18,16901.74242,-1.77,0.376666667
2025-02-19,28200.37879,-2.3325,0.484583333
2025-02-20,28978.18182,-2.344166667,0.482916667
2025-02-21,23132.80303,-1.809583333,0.449166667
2025-02-22,26464.77273,-0.257916667,0.474166667
2025-02-23,20002.87879,1.684166667,0.372916667
2025-02-24,14181.66667,3.1175,0.28125
2025-02-25,13521.0606,3.325,0.33875
2025-02-26,3256.893939,3.280416667,0.112083333
2025-02-27,2118.030303,3.955416667,0.13375
2025-02-28,26427.12121,4.63875,0.4175
